"","ID","cluster"
"Indiv1","1",4
"Indiv2","2",1
"Indiv3","3",2
"Indiv4","4",3
"Indiv5","5",3
"Indiv6","6",2
"Indiv7","7",1
"Indiv8","8",4
"Indiv9","9",2
"Indiv10","10",1
"Indiv11","11",3
"Indiv12","12",4
"Indiv13","13",4
"Indiv14","14",4
"Indiv15","15",4
"Indiv16","16",4
"Indiv17","17",4
"Indiv18","18",2
"Indiv19","19",3
"Indiv20","20",3
"Indiv21","21",2
"Indiv22","22",4
"Indiv23","23",4
"Indiv24","24",1
"Indiv25","25",4
"Indiv26","26",4
"Indiv27","27",2
"Indiv28","28",4
"Indiv29","29",1
"Indiv30","30",3
"Indiv31","31",4
"Indiv32","32",4
"Indiv33","33",4
"Indiv34","34",1
"Indiv35","35",3
"Indiv36","36",4
"Indiv37","37",3
"Indiv38","38",4
"Indiv39","39",4
"Indiv40","40",4
"Indiv41","41",4
"Indiv42","42",4
"Indiv43","43",2
"Indiv44","44",3
"Indiv45","45",1
"Indiv46","46",4
"Indiv47","47",4
"Indiv48","48",4
"Indiv49","49",4
"Indiv50","50",3
"Indiv51","51",4
"Indiv52","52",4
"Indiv53","53",4
"Indiv54","54",2
"Indiv55","55",4
"Indiv56","56",4
"Indiv57","57",4
"Indiv58","58",4
"Indiv59","59",3
"Indiv60","60",4
"Indiv61","61",4
"Indiv62","62",4
"Indiv63","63",4
"Indiv64","64",2
"Indiv65","65",4
"Indiv66","66",4
"Indiv67","67",4
"Indiv68","68",4
"Indiv69","69",2
"Indiv70","70",4
"Indiv71","71",4
"Indiv72","72",4
"Indiv73","73",4
"Indiv74","74",4
"Indiv75","75",2
"Indiv76","76",4
"Indiv77","77",4
"Indiv78","78",4
"Indiv79","79",4
"Indiv80","80",3
"Indiv81","81",4
"Indiv82","82",3
"Indiv83","83",4
"Indiv84","84",4
"Indiv85","85",2
"Indiv86","86",3
"Indiv87","87",2
"Indiv88","88",4
"Indiv89","89",4
"Indiv90","90",4
"Indiv91","91",4
"Indiv92","92",4
"Indiv93","93",3
"Indiv94","94",4
"Indiv95","95",3
"Indiv96","96",1
"Indiv97","97",2
"Indiv98","98",3
"Indiv99","99",4
"Indiv100","100",1
"Indiv101","101",4
"Indiv102","102",3
"Indiv103","103",3
"Indiv104","104",1
"Indiv105","105",4
"Indiv106","106",3
"Indiv107","107",4
"Indiv108","108",3
"Indiv109","109",2
"Indiv110","110",1
"Indiv111","111",4
"Indiv112","112",4
"Indiv113","113",2
"Indiv114","114",2
"Indiv115","115",2
"Indiv116","116",4
"Indiv117","117",4
"Indiv118","118",1
"Indiv119","119",4
"Indiv120","120",1
"Indiv121","121",4
"Indiv122","122",4
"Indiv123","123",1
"Indiv124","124",2
"Indiv125","125",2
"Indiv126","126",3
"Indiv127","127",2
"Indiv128","128",2
"Indiv129","129",4
"Indiv130","130",3
"Indiv131","131",2
"Indiv132","132",4
"Indiv133","133",4
"Indiv134","134",4
"Indiv135","135",1
"Indiv136","136",4
"Indiv137","137",3
"Indiv138","138",4
"Indiv139","139",1
"Indiv140","140",2
"Indiv141","141",4
"Indiv142","142",4
"Indiv143","143",4
"Indiv144","144",2
"Indiv145","145",4
"Indiv146","146",4
"Indiv147","147",4
"Indiv148","148",3
"Indiv149","149",4
"Indiv150","150",4
"Indiv151","151",3
"Indiv152","152",3
"Indiv153","153",4
"Indiv154","154",4
"Indiv155","155",4
"Indiv156","156",1
"Indiv157","157",3
"Indiv158","158",4
"Indiv159","159",4
"Indiv160","160",2
"Indiv161","161",4
"Indiv162","162",4
"Indiv163","163",3
"Indiv164","164",4
"Indiv165","165",4
"Indiv166","166",4
"Indiv167","167",4
"Indiv168","168",4
"Indiv169","169",4
"Indiv170","170",3
"Indiv171","171",4
"Indiv172","172",2
"Indiv173","173",1
"Indiv174","174",1
"Indiv175","175",4
"Indiv176","176",4
"Indiv177","177",4
"Indiv178","178",4
"Indiv179","179",3
"Indiv180","180",3
"Indiv181","181",1
"Indiv182","182",2
"Indiv183","183",3
"Indiv184","184",3
"Indiv185","185",4
"Indiv186","186",4
"Indiv187","187",4
"Indiv188","188",1
"Indiv189","189",4
"Indiv190","190",4
"Indiv191","191",1
"Indiv192","192",1
"Indiv193","193",4
"Indiv194","194",4
"Indiv195","195",4
"Indiv196","196",4
"Indiv197","197",4
"Indiv198","198",4
"Indiv199","199",3
"Indiv200","200",4
"Indiv201","201",2
"Indiv202","202",4
"Indiv203","203",4
"Indiv204","204",2
"Indiv205","205",4
"Indiv206","206",4
"Indiv207","207",2
"Indiv208","208",4
"Indiv209","209",3
"Indiv210","210",1
"Indiv211","211",2
"Indiv212","212",4
"Indiv213","213",1
"Indiv214","214",4
"Indiv215","215",2
"Indiv216","216",4
