,,F-value,p-value
白细胞,cluster_4_vs_1,0.5255921655858847,0.46930075352215617
白细胞,cluster_4_vs_2,1.4634690628649163,0.22770742125712476
白细胞,cluster_4_vs_3,0.5448035011871134,0.4611915449624374
白细胞,cluster_1_vs_2,0.09043614700458907,0.7644445653995834
白细胞,cluster_1_vs_3,1.178038741292324,0.28053135106738886
白细胞,cluster_2_vs_3,1.50373549239776,0.2228146346118328
CRP,cluster_4_vs_1,0.011634249070608022,0.914211552747689
CRP,cluster_4_vs_2,0.3504723721943258,0.5544678774122305
CRP,cluster_4_vs_3,0.5595348415494836,0.45520204819734245
CRP,cluster_1_vs_2,0.15488700551431825,0.6950101750331221
CRP,cluster_1_vs_3,0.22817585453880648,0.633988615850116
CRP,cluster_2_vs_3,0.002974182634152406,0.9566107293572702
TNF,cluster_4_vs_1,1.3936894413768781,0.23916444021490738
TNF,cluster_4_vs_2,3.1364013922845855,0.07797938026465212
TNF,cluster_4_vs_3,4.120234592451893,0.04350973926406129
TNF,cluster_1_vs_2,0.26643210682429236,0.6072338269674151
TNF,cluster_1_vs_3,0.4500529844938649,0.5039548675744662
TNF,cluster_2_vs_3,0.05950911178700927,0.8077450257019503
PTC,cluster_4_vs_1,1.6832211166821747,0.1959694413186826
PTC,cluster_4_vs_2,3.39414771053765,0.0668052579672543
PTC,cluster_4_vs_3,1.0935595762790886,0.29676751187038447
PTC,cluster_1_vs_2,0.04572831696379025,0.8312430856611138
PTC,cluster_1_vs_3,0.15266646477134868,0.6968842306160435
PTC,cluster_2_vs_3,0.512139082944283,0.47578778915870534
il6,cluster_4_vs_1,3.1109483814286305,0.07927190965758596
il6,cluster_4_vs_2,6.213797378436681,0.01343049628326836
il6,cluster_4_vs_3,0.0782851652041176,0.7798831206489594
il6,cluster_1_vs_2,0.06449711814954072,0.8002101023593355
il6,cluster_1_vs_3,1.1744236568625854,0.2812660282675853
il6,cluster_2_vs_3,2.3927240389916653,0.1248815151835938
il10,cluster_4_vs_1,3.069746435449407,0.08127186206266726
il10,cluster_4_vs_2,6.253879860015936,0.013138499896267124
il10,cluster_4_vs_3,0.09991158557291037,0.7522187311856907
il10,cluster_1_vs_2,0.06853062288261623,0.7941965199896867
il10,cluster_1_vs_3,1.1325905308635738,0.28994963013057684
il10,cluster_2_vs_3,2.37668872132602,0.12613848296513355
性别,cluster_4_vs_1,1.1875400545536403,0.27711822398972924
性别,cluster_4_vs_2,2.034014086144061,0.1552642867164552
性别,cluster_4_vs_3,4.724798439615843,0.0307382594077097
性别,cluster_1_vs_2,3.800398329810097,0.05492984811984175
性别,cluster_1_vs_3,0.2978345886442644,0.5865359375444781
性别,cluster_2_vs_3,8.939759036144578,0.003469287413965595
年龄,cluster_4_vs_1,0.0005615723222941753,0.9811171640941252
年龄,cluster_4_vs_2,8.63609026541977,0.0036553569395962834
年龄,cluster_4_vs_3,6.136669433785041,0.013951326565173975
年龄,cluster_1_vs_2,4.14773140527353,0.04517371777031281
年龄,cluster_1_vs_3,2.34800143097045,0.12880250932387113
年龄,cluster_2_vs_3,0.2242884052590973,0.6367655595404962
SOFA,cluster_4_vs_1,18.814956847468324,2.2684622152241853e-05
SOFA,cluster_4_vs_2,6.289459134130192,0.012884821075467767
SOFA,cluster_4_vs_3,0.7065055230901905,0.4014680577541083
SOFA,cluster_1_vs_2,2.7749463824154894,0.09986683442984554
