,F-value,p-value
白细胞,709.0144320443404,6.162735888343279e-105
CRP,590.4563677378025,2.6944789013937688e-92
TNF,46.409990620941926,2.2621766370831347e-11
PTC,106.04901298824609,4.4757732137419924e-23
il6,41.087788186331515,2.871736244625727e-10
il10,52.52910033805694,1.257311069058267e-12
性别,1.5370467682606415,0.21552395515073958
年龄,8728.781780670815,0.0
SOFA,1471.5010812814728,2.7315820659715676e-166
APACHE,2725.4115932843692,7.181204144796135e-230
机械通气,62.14201457152769,1.430211052909238e-14
住院时长,315.79536589255576,1.7816809729715848e-57
是否二感,30.913859604011325,4.0021337844943075e-08
慢性病个数,60.252972600379124,3.4266233326027306e-14
入院感染部位,205.73237207666608,1.5625620974299405e-40
新感部位,262.793760831889,1.3918014185274184e-49
BMI,8174.7231880766885,0.0
血红蛋白,3909.6964987874658,6.616790605762099e-271
血小板,927.2644617413274,1.6559916693286e-125
总胆,51.74315147797506,1.81909721366388e-12
间胆,194.81077732051233,9.956089432546666e-39
白蛋白,6063.430970786883,1.5e-323
AST,42.349047932289636,1.5687592542690665e-10
ALT,57.191498766391156,1.4206014884586248e-13
肌酐,397.14782067588976,9.334753101921848e-69
CRRT,145.8963730569949,2.472702690561283e-30
深静脉置管,13.661267405512929,0.00023817388145267514
入量,1160.5139695959415,1.6618937757822032e-144
出量,694.0736633959352,2.0855969858156932e-103
血管活性药物,4.370041683474518,0.036980176461263115
慢性心脏疾病,353.54521510096583,7.919489232547611e-63
慢性肝脏疾病,158.23411154345015,1.678895439782754e-32
慢性肺疾病,324.23099620626675,1.0870671966610208e-58
慢性肾脏疾病,158.23411154345015,1.678895439782754e-32
合并症,70.2871328092677,3.4114395083676363e-16
感染部位拼接,129.0386173649931,2.597409481567771e-27
入量-出量,122.32148162964499,4.346236900353005e-26
高血压,6.665998998497747,0.010053800748558826
糖尿病,86.17902813299234,2.6797578132705936e-19
肿瘤,102.50688543803106,2.0705532289971132e-22
