,,F-value,p-value
白细胞,cluster_3_vs_1,0.20715639625097268,0.6501796074283324
白细胞,cluster_3_vs_2,1.3509288731533717,0.24788221365531973
白细胞,cluster_3_vs_4,2.9213895297565546,0.08891851926018773
CRP,cluster_3_vs_1,0.48319487856901616,0.48889718509570335
CRP,cluster_3_vs_2,1.1555175006086484,0.28498393771081276
CRP,cluster_3_vs_4,2.8215561517573997,0.09452210608363647
TNF,cluster_3_vs_1,0.17519484989274123,0.6766039017319125
TNF,cluster_3_vs_2,0.4673245284762292,0.49580156103019113
TNF,cluster_3_vs_4,1.5352659794293004,0.21673371613006298
PTC,cluster_3_vs_1,,
PTC,cluster_3_vs_2,,
PTC,cluster_3_vs_4,,
il6,cluster_3_vs_1,0.7395208050038838,0.39226214454667174
il6,cluster_3_vs_2,0.5433752823090203,0.46276328561505464
il6,cluster_3_vs_4,0.5576416993941937,0.4560634269436534
il10,cluster_3_vs_1,0.6915722284773193,0.40798793141292045
il10,cluster_3_vs_2,0.4797335177869039,0.4901483943269117
il10,cluster_3_vs_4,0.6790733340520138,0.4108590749484412
性别,cluster_3_vs_1,0.021553798712784532,0.8836321028550125
性别,cluster_3_vs_2,0.38268664392997737,0.5375754690982819
性别,cluster_3_vs_4,1.7058007808969122,0.1929876035928518
年龄,cluster_3_vs_1,2.5424938499461467,0.11457554336786312
年龄,cluster_3_vs_2,0.060492979579189324,0.8062225713591017
年龄,cluster_3_vs_4,8.511365112897945,0.003920920524776489
SOFA,cluster_3_vs_1,3.9824052707959967,0.049218555591322107
SOFA,cluster_3_vs_2,0.000811444088094265,0.9773314195108386
SOFA,cluster_3_vs_4,0.5429137646253127,0.46206599268932413
APACHE,cluster_3_vs_1,2.127213857651591,0.14843266244385644
APACHE,cluster_3_vs_2,0.27569161945002985,0.6007012812707859
APACHE,cluster_3_vs_4,0.023607585502399615,0.8780380116747384
转归,cluster_3_vs_1,0.8757016840417003,0.3520642188211739
转归,cluster_3_vs_2,0.6535947712418297,0.42074953998184683
转归,cluster_3_vs_4,1.935017274201508,0.1657111835501642
机械通气,cluster_3_vs_1,0.4434748461974781,0.5072747511064827
机械通气,cluster_3_vs_2,0.8211831741243509,0.3670127837043534
机械通气,cluster_3_vs_4,4.323384465530041,0.0388300592607854
住院时长,cluster_3_vs_1,0.16594258404979903,0.6847794980486319
住院时长,cluster_3_vs_2,3.554455037576024,0.062288663084217044
住院时长,cluster_3_vs_4,0.22862012464594714,0.6330558947738109
是否二感,cluster_3_vs_1,1.013115124436803,0.31704839360871995
是否二感,cluster_3_vs_2,0.33375052148518963,0.56475750890211
是否二感,cluster_3_vs_4,0.8390245809764624,0.3607469175780379
